,model_name,step,dte,train_rmse,test_rmse,hyper,hyperidx,train_smape,test_smape,train_mase,test_mase
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,25.892792559763976,12.27391178567212,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,22,31.40502181180691,15.610125625342652,0.3127441,0.14234567
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,23.644994277743677,9.002177504865228,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,22,30.331340712654924,11.29387571100603,0.33883414,0.1058802
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,26.87763886027054,17.964086521195995,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,22,33.085343790769734,22.06908323053728,0.34293106,0.18879955
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,26.406439533343473,8.082589131603344,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,23,32.44740959311807,9.048301295230262,0.44001952,0.09632263
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.59854052176229,12.377938586350352,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,23,30.54997349967384,16.686859666255483,0.3182723,0.15304385
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,25.085857209463537,13.561681485417436,Model Name:lstm Hidden Dim:16 Num Layers:2 Dropout:0.4 Criterion:MSELoss() Prune:0.4,23,30.898238747553815,17.607555724026863,0.31748435,0.15910546
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,23.721908499762275,4.760204997737324,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,24,30.730410143509456,5.178395053796601,0.36959183,0.051646315
gru_1_2023-01-03 00:00:00,gru_gruhyper,1,2023-01-03 00:00:00,24.18022894183774,3.747090546148459,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,24,31.433234466731896,4.182243748715049,0.3899331,0.041999612
rnn_1_2023-01-03 00:00:00,rnn_rnnhyper,1,2023-01-03 00:00:00,29.003373574653992,23.766211829129002,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,24,35.87519110812133,29.94604920504386,0.39757636,0.24659012
lstm_1_2023-01-03 00:00:00,lstm_lstmhyper,1,2023-01-03 00:00:00,24.17862856122246,12.01334338606549,Model Name:lstm Hidden Dim:16 Num Layers:4 Dropout:0.2 Criterion:MSELoss() Prune:0.2,25,30.268743884540115,15.953841359991776,0.3213936,0.1465522
